# Ucuzabak kategori ağacı (export: 2026-03-31T22:36:03.993Z)
# Toplam kayıt: 690
# Satır formatı: [derinlik] Ad | slug: ... | id: ... | aktif: evet/hayır | sortOrder: ...

■ Elektronik | slug: elektronik | id: 691 | aktif: evet | sortOrder: 10
    └ Şampuan & Saç Kremi | slug: sac-bakim-sampuan-ve-sac-kremi | id: 1000 | aktif: evet | sortOrder: 10
    └ Saç Maskesi & Onarıcı | slug: sac-bakim-sac-maskesi-ve-onarici | id: 1001 | aktif: evet | sortOrder: 20
  └ Cilt Bakımı | slug: cilt-bakimi | id: 721 | aktif: evet | sortOrder: 30
    └ Temizleyici | slug: cilt-bakimi-temizleyici | id: 1002 | aktif: evet | sortOrder: 10
    └ Nemlendirici | slug: cilt-bakimi-nemlendirici | id: 1003 | aktif: evet | sortOrder: 20
  └ Tıraş | slug: tras | id: 722 | aktif: evet | sortOrder: 40
    └ Tıraş Köpüğü & Jel | slug: tras-tiras-kopugu-ve-jel | id: 1004 | aktif: evet | sortOrder: 10
    └ Tıraş Bıçağı & Fırça | slug: tras-tiras-bicagi-ve-firca | id: 1005 | aktif: evet | sortOrder: 20
  └ Diş Bakımı | slug: dis-bakimi | id: 723 | aktif: evet | sortOrder: 50
    └ Diş Macunu | slug: dis-bakimi-dis-macunu | id: 1006 | aktif: evet | sortOrder: 10
    └ Ağız Bakım Gargarası | slug: dis-bakimi-agiz-bakim-gargarasi | id: 1007 | aktif: evet | sortOrder: 20
  └ Ağız Bakımı | slug: agiz-bakimi | id: 724 | aktif: evet | sortOrder: 55
    └ Diş Macunu | slug: agiz-bakimi-dis-macunu | id: 1008 | aktif: evet | sortOrder: 10
    └ Ağız Bakım Gargarası | slug: agiz-bakimi-agiz-bakim-gargarasi | id: 1009 | aktif: evet | sortOrder: 20
  └ Parfüm | slug: parfum | id: 725 | aktif: evet | sortOrder: 60
    └ Parfüm | slug: parfum-parfum | id: 1010 | aktif: evet | sortOrder: 10
    └ Deodorant & Sprey | slug: parfum-deodorant-ve-sprey | id: 1011 | aktif: evet | sortOrder: 20
  └ Tıraş & Erkek Bakım | slug: kisisel-bakim-tiras-ve-erkek-bakim | id: 1240 | aktif: evet | sortOrder: 100
    └ Tıraş Makinesi | slug: kisisel-bakim-tiras-ve-erkek-bakim-tiras-makinesi | id: 1241 | aktif: evet | sortOrder: 10
    └ Sakal Bakım | slug: kisisel-bakim-tiras-ve-erkek-bakim-sakal-bakim | id: 1242 | aktif: evet | sortOrder: 20
  └ Epilasyon & Kadın Bakım | slug: kisisel-bakim-epilasyon-ve-kadin-bakim | id: 1243 | aktif: evet | sortOrder: 110
    └ Epilatör | slug: kisisel-bakim-epilasyon-ve-kadin-bakim-epilator | id: 1244 | aktif: evet | sortOrder: 10
    └ Ağda Ürünleri | slug: kisisel-bakim-epilasyon-ve-kadin-bakim-agda-urunleri | id: 1245 | aktif: evet | sortOrder: 20
  └ Kişisel Hijyen | slug: kisisel-bakim-kisisel-hijyen | id: 1246 | aktif: evet | sortOrder: 120
    └ Duş Jeli | slug: kisisel-bakim-kisisel-hijyen-dus-jeli | id: 1247 | aktif: evet | sortOrder: 10
    └ Hijyen Pedi | slug: kisisel-bakim-kisisel-hijyen-hijyen-pedi | id: 1248 | aktif: evet | sortOrder: 20
  └ Medikal Kişisel Bakım | slug: kisisel-bakim-medikal-kisisel-bakim | id: 1249 | aktif: evet | sortOrder: 130
    └ Nebülizatör | slug: kisisel-bakim-medikal-kisisel-bakim-nebulizator | id: 1250 | aktif: evet | sortOrder: 10
    └ Ateş Ölçer | slug: kisisel-bakim-medikal-kisisel-bakim-ates-olcer | id: 1251 | aktif: evet | sortOrder: 20
■ Anne & Bebek | slug: anne-bebek | id: 695 | aktif: evet | sortOrder: 60
  └ Bebek Arabası | slug: bebek-arabasi | id: 726 | aktif: evet | sortOrder: 10
    └ Puset & Taşıma | slug: bebek-arabasi-puset-ve-tasima | id: 1012 | aktif: evet | sortOrder: 10
    └ Bebek Arabası Aksesuarları | slug: bebek-arabasi-bebek-arabasi-aksesuarlari | id: 1013 | aktif: evet | sortOrder: 20
  └ Oto Koltuğu | slug: oto-koltugu | id: 727 | aktif: evet | sortOrder: 20
    └ Oto Koltuğu | slug: oto-koltugu-oto-koltugu | id: 1014 | aktif: evet | sortOrder: 10
    └ Emniyet Aksesuarları | slug: oto-koltugu-emniyet-aksesuarlari | id: 1015 | aktif: evet | sortOrder: 20
  └ Emzik & Şişe | slug: emzik-sise | id: 728 | aktif: evet | sortOrder: 30
    └ Biberon Ucu & Emzik | slug: emzik-sise-biberon-ucu-ve-emzik | id: 1016 | aktif: evet | sortOrder: 10
    └ Sterilizasyon Ürünleri | slug: emzik-sise-sterilizasyon-urunleri | id: 1017 | aktif: evet | sortOrder: 20
  └ Bez | slug: bez | id: 729 | aktif: evet | sortOrder: 40
    └ Bebek Bezleri | slug: bez-bebek-bezleri | id: 1018 | aktif: evet | sortOrder: 10
    └ Islak Mendil & Bakım Kremi | slug: bez-islak-mendil-ve-bakim-kremi | id: 1019 | aktif: evet | sortOrder: 20
  └ Bebek Beslenme | slug: bebek-beslenme | id: 730 | aktif: evet | sortOrder: 50
    └ Mama Hazırlık Ürünleri | slug: bebek-beslenme-mama-hazirlik-urunleri | id: 1020 | aktif: evet | sortOrder: 10
    └ Bardak & Mama Setleri | slug: bebek-beslenme-bardak-ve-mama-setleri | id: 1021 | aktif: evet | sortOrder: 20
  └ Bebek Odası | slug: bebek-odasi | id: 731 | aktif: evet | sortOrder: 60
    └ Bebek Nevresimi | slug: bebek-odasi-bebek-nevresimi | id: 1022 | aktif: evet | sortOrder: 10
    └ Oda Tekstili & Organizer | slug: bebek-odasi-oda-tekstili-ve-organizer | id: 1023 | aktif: evet | sortOrder: 20
  └ Bebek Bezi | slug: anne-bebek-bebek-bezi | id: 1252 | aktif: evet | sortOrder: 110
